repo,issue_1_number,issue_1_text,issue_2_number,issue_2_text,cosine_similarity,is_duplicate,final_confidence
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",42,"Add LICENSE file to establish open-source terms
## 🔍 Summary
No **LICENSE** file found in this repository. Without a license, the legal status of the code is unclear and contributors cannot safely use or modify it.

## 📋 What Needs to Be Done
- [ ] Choose an appropriate license (recommend **MIT License** for OpenLake projects)
- [ ] Create a `LICENSE` file at the repository root
- [ ] Add a license badge to `README.md`
- [ ] Optionally: Add license headers to source files

## 💡 Resources
- https://choosealicense.com/
- https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/adding-a-license-to-a-repository
- OpenLake likely prefers MIT for consistency across projects",0.466330945,0.0,1.0
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",39,"[SPRINT-M25] fix:Improve Card Layout and Responsiveness
The current card design lacks responsiveness and has text overflow and spacing issues, especially on smaller screens. This issue aims to refine the card layout, spacing, and typography for a more consistent and readable UI.

- Tasks:

1. Adjust card width and height for better scaling.
2. Add proper spacing (margin-bottom, alignment fixes).
3. Improve responsiveness with new media queries.
4. Fix text wrapping and overflow in titles and tech sections.
5. Maintain smooth flip animation and clean visuals

- Expected Result : Cards should resize smoothly, align evenly, and display text clearly on all devices.
- Labels used : enhancement",0.140519723,0.0,1.0
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",36,"[SPRINT-M26] fix: Events button in footer not navigating to Events page
The bottom Events button in the website (likely placed in the footer or secondary navigation section) is not functioning as expected. Unlike the top navigation Events button, clicking on the bottom one does not redirect users to the Events page

- Expected Behavior:

1. Clicking on the bottom Events button should correctly navigate the user to the /events page.
2. Navigation behavior should be consistent with the top Events button.

- Impact

1. This creates inconsistent navigation behavior. Users who try to access Events via the bottom button may assume the page is broken or unavailable.

- Labels Used

1. bug
2. good first issue",0.008726656,0.0,1.0
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",32,"[SPRINT-M25] feat : Replace HeaderDot with Back Navigation Arrow
Currently, the HeaderDot component is a static visual element with no interactive behavior.
We should enhance it so that clicking it navigates the user back to the previous page (similar to the browser back button). This change involves replacing the HeaderDot with a HeaderArrow icon for better user clarity.

Expected Behavior:

Clicking the new HeaderArrow navigates to the previous page or project list without a full page refresh.

This will improve accessibility and reduce user effort when exploring multiple projects.

Label used:

good first issue",0.103642642,0.0,1.0
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",30,"In projects section update all the repo
",0.343267411,0.0,1.0
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",29,"add present and past community details
",0.266022563,0.0,1.0
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",28,"add past events
",0.011079838,0.0,1.0
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",27,"fetch and update github stats
",0.298418045,0.0,1.0
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",26,"update notable projects details
",0.29679662,0.0,1.0
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",21,"Bug: Project Card Flipping Fails to hide the text in the front of the card on firefox
When a project card is hovered over, the text is supposed to hide, instead it's flipping with the card

![Image](https://github.com/user-attachments/assets/aab59fe7-558c-46ee-b98c-c2d9be2198c9)",0.049319565,0.0,1.0
